25-01-2025 11:36:42.519 [background-preinit] INFO  [Version.java:21] o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
25-01-2025 11:36:42.593 [restartedMain] INFO  [StartupInfoLogger.java:50] c.g.biblioteca.BibliotecaApplication.logStarting - Starting BibliotecaApplication using Java 17.0.8.1 with PID 24348 (D:\Programacion\Proyectos\Growby\sistema-biblioteca-backend\target\classes started by steve in D:\Programacion\Proyectos\Growby\sistema-biblioteca-backend)
25-01-2025 11:36:42.595 [restartedMain] INFO  [SpringApplication.java:654] c.g.biblioteca.BibliotecaApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
25-01-2025 11:36:42.713 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.restart.ChangeableUrls.logTo - The Class-Path manifest attribute in C:\Users\steve\.m2\repository\com\oracle\database\jdbc\ojdbc11\21.9.0.0\ojdbc11-21.9.0.0.jar referenced one or more files that do not exist: file:/C:/Users/steve/.m2/repository/com/oracle/database/jdbc/ojdbc11/21.9.0.0/oraclepki.jar
25-01-2025 11:36:42.713 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
25-01-2025 11:36:42.714 [restartedMain] INFO  [DeferredLog.java:252] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
25-01-2025 11:36:44.067 [restartedMain] INFO  [RepositoryConfigurationDelegate.java:143] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
25-01-2025 11:36:44.196 [restartedMain] INFO  [RepositoryConfigurationDelegate.java:211] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 115 ms. Found 3 JPA repository interfaces.
25-01-2025 11:36:45.548 [restartedMain] INFO  [TomcatWebServer.java:111] o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 9098 (http)
25-01-2025 11:36:45.566 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-9098"]
25-01-2025 11:36:45.574 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.catalina.core.StandardService.log - Starting service [Tomcat]
25-01-2025 11:36:45.575 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.28]
25-01-2025 11:36:45.686 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
25-01-2025 11:36:45.688 [restartedMain] INFO  [ServletWebServerApplicationContext.java:296] o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2971 ms
25-01-2025 11:36:46.081 [restartedMain] INFO  [H2ConsoleAutoConfiguration.java:88] o.s.b.a.h.H2ConsoleAutoConfiguration.logDataSources - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
25-01-2025 11:36:46.355 [restartedMain] INFO  [LogHelper.java:31] o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
25-01-2025 11:36:46.454 [restartedMain] INFO  [Version.java:44] org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.2.Final
25-01-2025 11:36:46.504 [restartedMain] INFO  [RegionFactoryInitiator.java:50] o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
25-01-2025 11:36:46.944 [restartedMain] INFO  [SpringPersistenceUnitInfo.java:87] o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
25-01-2025 11:36:47.966 [restartedMain] INFO  [JtaPlatformInitiator.java:59] o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
25-01-2025 11:36:48.008 [restartedMain] INFO  [AbstractEntityManagerFactoryBean.java:437] o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
25-01-2025 11:36:49.096 [restartedMain] WARN  [JpaBaseConfiguration.java:236] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
25-01-2025 11:36:49.150 [restartedMain] WARN  [UserDetailsServiceAutoConfiguration.java:86] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration.getOrDeducePassword - 

Using generated security password: de11957e-8e2d-4da5-9004-4c432754e240

This generated password is for development use only. Your security configuration must be updated before running your application in production.

25-01-2025 11:36:49.188 [restartedMain] INFO  [InitializeUserDetailsBeanManagerConfigurer.java:113] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer.configure - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
25-01-2025 11:36:50.261 [restartedMain] INFO  [OptionalLiveReloadServer.java:59] o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
25-01-2025 11:36:50.313 [restartedMain] INFO  [DirectJDKLog.java:173] o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-9098"]
25-01-2025 11:36:50.344 [restartedMain] INFO  [TomcatWebServer.java:243] o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 9098 (http) with context path '/'
25-01-2025 11:36:50.359 [restartedMain] INFO  [StartupInfoLogger.java:56] c.g.biblioteca.BibliotecaApplication.logStarted - Started BibliotecaApplication in 8.63 seconds (process running for 26.061)
25-01-2025 11:37:43.621 [http-nio-9098-exec-1] INFO  [DirectJDKLog.java:173] o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
25-01-2025 11:37:43.622 [http-nio-9098-exec-1] INFO  [FrameworkServlet.java:532] o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
25-01-2025 11:37:43.624 [http-nio-9098-exec-1] INFO  [FrameworkServlet.java:554] o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 2 ms
25-01-2025 11:37:43.677 [http-nio-9098-exec-1] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /swagger-ui.html
25-01-2025 11:37:43.903 [http-nio-9098-exec-2] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:37:51.769 [http-nio-9098-exec-3] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /swagger-ui/index.html
25-01-2025 11:37:51.939 [http-nio-9098-exec-4] WARN  [DispatcherServlet.java:1301] o.s.web.servlet.PageNotFound.noHandlerFound - No mapping for GET /favicon.ico
25-01-2025 11:38:48.827 [background-preinit] INFO  [Version.java:21] o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
25-01-2025 11:38:48.892 [restartedMain] INFO  [StartupInfoLogger.java:50] c.g.biblioteca.BibliotecaApplication.logStarting - Starting BibliotecaApplication using Java 17.0.8.1 with PID 9168 (D:\Programacion\Proyectos\Growby\sistema-biblioteca-backend\target\classes started by steve in D:\Programacion\Proyectos\Growby\sistema-biblioteca-backend)
25-01-2025 11:38:48.894 [restartedMain] INFO  [SpringApplication.java:654] c.g.biblioteca.BibliotecaApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
